index	topic_score	doc_purity	percent_docs	name	summary0	summary1	summary2	summary3	summary4	summary5	summary6	summary7	summary8	summary9
0	20.42	0.467	43.77	Election	state	governor	candidate	campaign	percent	race	election	primary	voters	jobs
1	6.64	0.449	14.79	Development	million	rail	water	development	project	city	train	building	transit	site
2	5.06	0.637	7.95	Events	event	list	invite	people	hosts	kmrindfleisch@gmail	[mailto:kmrindfleisch@gmail	send	calls	[mailto:scottd@maelstromsolutions
3	4.19	0.518	8.09	Mental Health	skw@scottwalker	org	patient	mental	county	staff	complex	story	report	policy
4	4.08	0.606	6.73	Communications	message	intended	communication	sender	information	advice	confidential	error	delete	privileged
5	3.15	0.476	6.61	Budget	budget	pension	county	org	furlough	levy	carcher	million	report	surplus
6	2.55	0.509	5.01	Phone Calls	call	talk	today	article	tomorrow	asked	forwarded	gopfran@yahoo	morning	media
7	2.1	0.516	4.07	Letters	letter	smartphone	emily@votebrettdavis	kmrindfleisch@gmail	[mailto:emily@votebrettdavis	fundraiser	[mailto:kmrindfleisch@gmail	call	dates	check
8	0.98	0.417	2.36	Records	request	records	open	attached	net	file	documents	!	date	survey
9	0.38	0.63	0.61	Times	pm-	am-	pm	#	home	st	drive	car	pick	meet
